| ra_number  |of_number  |se_number  |race_id|office_id|ra_num_winners|rt_number  |rt_party_name|of_description  |ot_number  |ot_name |se_name |of_scope|race_order |el_date |ra_uncontested|ra_tabulate|st_postal|ra_national_b|ra_runoff_cands|
|  22594|  21540| 14|D  |N| 1|  1|Dem  || 14|Baltimore City Council  |District 14 |L   |   5780|20160426| 0|  1|MD   |0|  0|
|  22596|  21538| 12|D  |N| 1|  1|Dem  || 14|Baltimore City Council  |District 12 |L   |   5720|20160426| 0|  1|MD   |0|  0|
|  22648|  21535|  9|R  |N| 1|  2|GOP  || 14|Baltimore City Council  |District 9  |L   |   5670|20160426| 0|  1|MD   |0|  0|
|  22649|  21536| 10|R  |N| 1|  2|GOP  || 14|Baltimore City Council  |District 10 |L   |   5690|20160426| 0|  1|MD   |0|  0|
|  22650|  21537| 11|R  |N| 1|  2|GOP  || 14|Baltimore City Council  |District 11 |L   |   5710|20160426| 0|  1|MD   |0|  0|
|  22651|  21538| 12|R  |N| 1|  2|GOP  || 14|Baltimore City Council  |District 12 |L   |   5730|20160426| 0|  1|MD   |0|  0|
|  22652|  21539| 13|R  |N| 1|  2|GOP  || 14|Baltimore City Council  |District 13 |L   |   5770|20160426| 0|  1|MD   |0|  0|
|  22653|  21540| 14|R  |N| 1|  2|GOP  || 14|Baltimore City Council  |District 14 |L   |   5790|20160426| 0|  1|MD   |0|  0|
|  22818|  21587|  0|D  |P| 1|  1|Dem  ||  1|President   ||S   |198|20160426| 0|  1|MD   |1|  0|
|  22819|  21587|  0|R  |P| 1|  2|GOP  ||  1|President   ||S   |199|20160426| 0|  1|MD   |1|  0|

